,Body,tags
10,"The express provision in the sub-section would save the rights recognised by custom conferred by any special enactment to obtain the dissolution of Hindu marriage. Therefore if there was a special enactment in force which conferred a right to obtain dissolution, the provision with regard to dissolution of marriages under the Hindu Marriage Act would not affect such right. The field of operation of the right to dissolution conferred under the Hindu Marriage Act was restricted in its scope by reason of Section 29 (2) of the Act. It was operative in all cases other than those to which Section 29 (2) would apply. In other words the right to obtain dissolution under the Hindu Marriage Act did not extend to cases where provision has been made for that purpose in special enactments. In such cases the special enactment would continue to operate. The words ""nothing contained in this Act shall be deemed to affect any right"" in Sub-section (2) of Section 29 of the Act clearly indicate the limited scope of Section 13 of the Hindu Marriage Act, limited in the sense that it will not override the provisions in special enactments conferring right to obtain dissolution of Hindu marriage. In that view the provisions of the Nair Act which conferred a right to obtain dissolution of marriage on certain specific grounds and by resort to a specific procedure would remain in force not because such right was conferred by Section 29 (2) but Section 29 (2) limits the operation of Section 13 to cases other than those covered, among other laws by Nair Act 1100. In that view Section 4 (b) will not be applicable, for, that renders any law inoperative only in so far as it is inconsistent with any provision contained in the Act. Nair Act is not inconsistent with any provision contained in the Hindu Marriage Act, for, Section 13 limited in its operation to cases other than those covered by Section 29 (2) would not be inconsistent with cases covered by Section 29 (2). In other words the provisions of Nair Act concerning the right to obtain dissolution of marriage are not inconsistent with Section 13 of the Act.","['29','2','4','13']"
11,"After the passing of the Hindu Succession Act, by virtue of Section 14 of that Act, a widow gets an absolute interest in her deceased husband's property possessed by her. If Section 2 of the Hindu Widows' Re-marriage Act was to apply to cases where a Hindu widow has got an absolute interest in her deceased husband's property, that will be inconsistent with the provisions of the Hindu Succession Act and, therefore, invalid to the extent of inconsistency by virtue of the provisions of Section 4 (l) (b) of the Hindu Succession Act. Learned Counsel for the appellant placed reliance on Section 15 of the Hindu Succession Act, according to which, in absence of the heirs expressly mentioned in Clause (a) of Sub-section (11. the property inherited by a female Hindu from her father or mother was on her dying intestate to devolve on the heirs of her father while the property inherited by a female Hindu from her husband was to devolve upon the heirs of the husband. According to him, this showed that the intention of the makers of the Hindu Succession Act was that the property in the hands of a Hindu female should not go out of the hands of the branch to which it originally belonged. Section 15 applies only to cases where a female Hindu dies intestate","['2','4','11','14','15']"
12,"I am in entire agreement with my learned Brother Mukharji, J. that Section 2 of the Hindu Widows' Re-marriage Act is inconsistent with Section 14 of the Hindu Succession Act, and, therefore, in cases, where a Hindu widow gets absolute right by inrcritanee in her husband's property, she cannot be divested of that right by virtue of Section 2 of the Hindu Widows' Re-marriage Act. In my opinion, Section 2 aforesaid merely divests a Hindu widow on re-marriage of limited interest held by her. It has been expressly so stated with regard to her husband's property coming to her by virtue of any Will or testamentary disposition. If the interest conferred upon her in her husband's property by virtue of will or testamentary disposition is not limited but absolute, the section has got no application. It appears that the section has also got no application where she gets her deceased husband's property by virtue of a non-testamentary disposition. Rights and interest acquired by her in her husband's property by inheritance, to her husband or to his lineal successors were limited interest before the passing of the Hindu Succession Act.","['2','14']"
13,"Though S.1(2) states that the Act extends to the whole of India except the State of Jammu and Kashmir and also to Hindus domiciled in the territories to which this Act extends, the word ""domicile"" does not figure in sub-clause (a) and (b) of S. 2(1). Sub-Clause (a) of S.2(1) states that the Hindu Marriage Act applies to any persons who is Hindu by religion in any of its forms or developments, including a Virashaiva, a Lingayat or a follower of the Brahmo, Prarthana or Arya Sama. Sub-clause (b) of S.2(1) states that the Act applies to any person who is Buddhist, Jaina or sikh by religion meaning thereby cls.(a) and (b) require the form of Hindu to make Act applicable. Sub-clause (c) states that the Act applies to any other person domiciled in the territories to which the Act extends who is not a Muslim, Christian, Parsi or Jew by religion, unless it is proved that any such person would not have been governed by the Hindu law or by any custom or usage as part of the law. A conjoint reading of Ss.1 and 2 of the Act would indicate that so far as the second limp of S.1(2) of the Act is concerned its intra territorial operation of the Act which applies those who reside outside the territories. First limp of Sub-Section 2 of S. 1 and Cls.(a) and (b) of S.2 (1) would make it clear that the Act would apply to Hindus reside in India whether they reside outside the Territories or not. The word ""Hindu"" as such is not defined in the Act. All the same, Sub-Section (3) of S.2 says that the Act shall be construed as if it included a person who, though not a Hindu by religion, is, nevertheless a person to whom this Act applies by virtue of the provisions contained in the Section. Section 5 as we have already indicated deals with the conditions for a Hindu Marriage. It is not the conditions in Section 5 that the Hindu who is solemnizing the Marriage under Hindu Marriage Act should have domiciled in India. We may in this connection referred to the applicability of the Hindu Succession Act, 1956. Section 1(2) of the Act states that it extends to the whole of India except the State of Jammu and Kashmir. Section 2(1) deals with the applicability of the provisions of the Act and also the jurisdiction of the Court. There is no second part to sub-Section (2) providing for extra territorial operation. Section 2 of the Hindu Succession Act also does not contain any reference to domicile. When we compare the provisions of the Hindu Marriage Act and the Hindu Succession Act, 1956, it is clear that the concept of domicile has been brought only in the second limb of sub-section (2) of S.1 of the Hindu Marriage Act read with S.5(1) of the Act. So far as the present case is concerned, clause applicable is the first limb of sub-section (2) of S.1 read with Cl.(a) of sub-section (2) of S.2 of the Act. Test to be applied is whether both the parties are Hindus by religion in any of its forms and whether they have satisfied the condition laid down in S.5 of the Hindu Marriage Act and whether they have followed the ceremonies of Hindu Marriage Act as provided in S.7 of the Hindu Marriage Act. The concept of domicile as we have already indicated would apply only in a case where the second limb of S.1(2) of the Hindu Marriage Act read with sub-Clause (a) of S.2(1) is attracted. We are of the view that the petitioners have satisfied the conditions laid down in S.5 of the Act and also the first limp of sub-section (2) of S.1 read with Cls.(a) and (b) of S.2(1) of the Hindu Marriage Act, 1955.","['1','2','3','5']"
14,"However, this Court does not find any evidence to substantiate the case of the Petitioner under Section 13(1) (iii) of Hindu Marriage Act, 1955. Further, there is no cross examination materially on that point that is by touching the mental health of the Respondent. So, in the considered opinion of this Court, the Petitioner has not proved his case with regard to the mental ill heath of the Respondent as defined under Section 13(1) (iii) of Hindu Marriage Act, 1955. So, in this regard the finding of the Learned Trial Judge with regard to the second point for consideration that is the petitioner has not proved about the alleged mental ill-health of the respondent is confirmed. So, this Court has no hesitation to reject the case of the petitioner for divorce under Section 13(1) (iii) of Hindu Marriage Act, 1955.",['13-A']
15,"Though S.1(2) states that the Act extends to the whole of India except the State of Jammu and Kashmir and also to Hindus domiciled in the territories to which this Act extends, the word ""domicile"" does not figure in sub-clause (a) and (b) of S. 2(1). Sub-Clause (a) of S.2(1) states that the Hindu Marriage Act applies to any persons who is Hindu by religion in any of its forms or developments, including a Virashaiva, a Lingayat or a follower of the Brahmo, Prarthana or Arya Sama. Sub-clause (b) of S.2(1) states that the Act applies to any person who is Buddhist, Jaina or sikh by religion meaning thereby cls.(a) and (b) require the form of Hindu to make Act applicable. Sub-clause (c) states that the Act applies to any other person domiciled in the territories to which the Act extends who is not a Muslim, Christian, Parsi or Jew by religion, unless it is proved that any such person would not have been governed by the Hindu law or by any custom or usage as part of the law. A conjoint reading of Ss.1 and 2 of the Act would indicate that so far as the second limp of S.1(2) of the Act is concerned its intra territorial operation of the Act which applies those who reside outside the territories. First limp of Sub-Section 2 of S. 1 and Cls.(a) and (b) of S.2 (1) would make it clear that the Act would apply to Hindus reside in India whether they reside outside the Territories or not. The word ""Hindu"" as such is not defined in the Act. All the same, Sub-Section (3) of S.2 says that the Act shall be construed as if it included a person who, though not a Hindu by religion, is, nevertheless a person to whom this Act applies by virtue of the provisions contained in the Section. Section 5 as we have already indicated deals with the conditions for a Hindu Marriage. It is not the conditions in Section 5 that the Hindu who is solemnizing the Marriage under Hindu Marriage Act should have domiciled in India. We may in this connection referred to the applicability of the Hindu Succession Act, 1956. Section 1(2) of the Act states that it extends to the whole of India except the State of Jammu and Kashmir. Section 2(1) deals with the applicability of the provisions of the Act and also the jurisdiction of the Court. There is no second part to sub-Section (2) providing for extra territorial operation. Section 2 of the Hindu Succession Act also does not contain any reference to domicile. When we compare the provisions of the Hindu Marriage Act and the Hindu Succession Act, 1956, it is clear that the concept of domicile has been brought only in the second limb of sub-section (2) of S.1 of the Hindu Marriage Act read with S.5(1) of the Act. So far as the present case is concerned, clause applicable is the first limb of sub-section (2) of S.1 read with Cl.(a) of sub-section (2) of S.2 of the Act. Test to be applied is whether both the parties are Hindus by religion in any of its forms and whether they have satisfied the condition laid down in S.5 of the Hindu Marriage Act and whether they have followed the ceremonies of Hindu Marriage Act as provided in S.7 of the Hindu Marriage Act. The concept of domicile as we have already indicated would apply only in a case where the second limb of S.1(2) of the Hindu Marriage Act read with sub-Clause (a) of S.2(1) is attracted. We are of the view that the petitioners have satisfied the conditions laid down in S.5 of the Act and also the first limp of sub-section (2) of S.1 read with Cls.(a) and (b) of S.2(1) of the Hindu Marriage Act, 1955.","['1','2','3','5']"
16,"The difficulty arises because the word ""fraud"" is not defined in the Hindu Marriage Act, 1955. But in my opinion, the provisions of Section 17 of the Indian Contract Act cannot apply to fraud as understood in Section 12(1)(c) of the Hindu Marriage Act. It is necessary to bear in mind that there is a difference between the marriage under the Special Marriage Act, 1954 and the marriage under the Hindu Marriage Act, 1955. The Special marriage Act, 1954 provides a special form of marriage in certain cases. It is permissible to a Hindu, by virtue of this Act, to have his marriage with another Hindu or a person belonging to any other community solemnized in accordance with the requirements of the Act: The rights, obligations and status of the parties to such civil marriage in matters relating to restitution of conjugal rights, judicial separation, nullity of marriage and divorce are regulated by the provisions contained in that Act. The succession to property of two Hindus married under that Act as also to the property of the issues of such marriage is governed by the relevant provisions of the Indian Succession Act, 1925 and not by the Hindu Law of succession. It is significant to notice that no ceremonies are necessary for the marriage being valid under that Act. Obviously, therefore, the marriage under the Special Marriage Act, 1954, is a contract. The position under the Hindu Marriage Act, 1955, however, is different. It is needless to say that marriage under the Hindu Law is treated as a samskara or a sacrament. The Hindu Marriage Act, 1955, contemplates a ceremonial marriage which must be solemnized in accordance with the customary rites and ceremonies of one of the two parties. Non-observance of the essential customary rites and ceremonies of at least one of the parties would amount to failure to solemnize the marriage. In other words, a marriage under the Hindu Marriage Act which is not solemnized by performance of the essential ceremonies is, under the Act, no marriage at all: It is true that the conditions laid down in Section 5 of the Hindu Marriage Act must also be fulfilled before a marriage under that Act is gone through. But the non-fulfilment of every one of the conditions and requirements enacted in Section 5 does not ipso facto render the marriage null and void or even voidable: It seems to me, therefore, that under the Hindu Marriage Act, the marriage which is a ceremonial marriage which is a ceremonial marriage is essentially a sacrament (Samskara).","['5','12','17']"
17,"The learned Judge of the original Court referring to Section 19 of the Hindu Marriage Act held that the conditions of that section for invoking the jurisdiction of his Court were not satisfied inasmuch as neither was the marriage solemnised within the jurisdiction of his Court, nor was it the case that the husband and wife resided or last resided together within the jurisdiction of his Court. It was claimed before the learned Judge that even if conditions of Section 19 of the Hindu Marriage Act were not complied with, in the instant case the Court would have jurisdiction under Section 20, Civil Procedure Code, which was expressly made applicable to proceedings under the Hindu Marriage Act by Section 21.","['19','20','21']"
18,"The applicant has new come up to this Court and has reiterated the same contentions. It is undoubtedly a somewhat peculiar case. The Hindu Marriage Act was passed by Parliament in 1955 and became the law on 18th May 1955. Under the Act certain rights have been for the first time created in favour of Hindu spouses who are citizens of this country. One of those rights is for husband or wife to obtain a decree for divorce in respect of marriage solemnised even before the commencement of this Act if one or the other of the conditions in Section 13 of the Act are satisfied. The question is whether the enforcement of this right which has been created by the Hindu Marriage Act, can be defeated or denied to a Hindu, who is otherwise entitled to it, by an interpretation put on Section 19 of the Act which makes the remedies available under the Act nugatory so far as Hindus whose marriages were solemnised in a territory which was previously a part of India but is now a part of Pakistan and who have separated before the partition, are concerned. If the provisions of Section 19 of the Hindu Marriage Act are to be interpreted in such a manner, then the only result would be that any person in the position of the applicant and the opponent in the instant case would not he entitled to avail of any of the rights or remedies created in respect of spouses, husbands or wives, under the Act, whether the marriages were solemnised before cr even after the Act. In my opinion, that could not be the intention of the law, and in particular, of the provision regarding jurisdiction of the Court created under Section 19 of the Act. It is in this context that the provisions of Section 21, which make applicable the provisions of the Code of Civil Procedure to the proceedings under the Hindu Marriage Act, have to be interpreted. It is undoubtedly true that the provisions of the Civil Procedure Code have been made applicable subject to the provisions of the Act contained therein. Therefore, the proper way of reconciling the provisions of Section 19 of the Hindu Marriage Act with the provision as to the right of suing to be found in the relevant provisions of the Cods of Civil Procedure, and in particular, Section 20 of the Code, would be first to see whether the jurisdiction can be invoked by satisfaction of any of the conditions of Section 19 of the Act. If the provisions of Section 19 of the Act had been called into play, then in that case it is those provisions which must be satisfied if they are capable of being satisfied in a particular case. ","['13','19','20','21']"
19,"Under Section 19 of the Family Courts Act, appeal can be preferred against any decision of the Family Court not being an interlocutory order. Under Section 28(4) of the Hindu Marriage Act the period of limitation is prescribed for orders passed under the Hindu Marriage Act. In this view of the matter, we are of the opinion that the stipulation of Section 19(3) are more general in nature inasmuch as they cover not 12 of 23 13 cam.448.14.doc only orders passed by the Family Court under the Hindu Marriage Act but cover all appealable orders passed in proceedings before the Family Court. The stipulations of Section 19(3) of the Family Courts Act being general in nature and Section 28(4) of the Hindu Marriage Act as amended being special in nature (in that they refer to one class of cases which fall under Section 19 of the Family Courts Act.)","['19','28']"
20,"Section 14 of the Divorce Act also, in my view, goes a long way to indicate that court cannot, and at any rate, should not decree dissolution solely on the statements made in the petition, event though Section 47 makes them referable as evidence. Section 14 provides that a Court in order to decree dissolution must not only be ""satisfied on the evidence that the case of the petitioner has been proved"", but must also be satisfied that the petition is not presented or prosecuted in collusion with the respondent and that the petitioner has not in any manner been accessory to or conniving at or condoned the adultery complained of. I have no doubt that no court can reasonably come to these findings merely on the statements in the petition without examining the petitioner, more particularly in an undefended case and I would like to refer to the single Judge decision of the Allahabad High Court in Anjula v. Milan , where the learned Judge has taken similar view while considering Section 20(2) and Section 23 of the Hindu Marriage Act, analogous to Section 47 and Section 14, respectively, of the Divorce Act I am, therefore, of the view that I cannot, and, at any rate, could not confirm the decree on the basis of the statements made in the petition, even assuming that these statements, if believed, would have reasonably proved the alleged adultery. I must, however, note that my Lord Mookherjee, J., has indicated during our discussion that the view that no decree can ever be founded on the statements in the petition may be too broad a proposition and that there may be appropriate cases where such statement may form part of the basis for a decree.","['14','20','23']"
21,"The first contention that has been made on behalf of the appellant is that by virtue of the provisions of Section 21 of the HinduMarriage Act the Code of Civil Procedure is made applicable toproceedings under the said Act and so, even if the petition wasnot maintainable under Section 19 of the Act it should have been heldthat the District Court in Delhi had jurisdiction to entertain the petitionby virtue of the provisions of Section 20 of the Code of Civil ProcedureThe contention is since the cause of action or a part of the cause ofaction, viz. the failure of the wife to discharge her marital obligationsto the husband at the place where the husband resides, arises at Delhi,the appellant being a permanent resident of Delhi, it should havebeen held that the Courts at Delhi have jurisdiction to entertain THE petition. Of this contention there were two facets. First, that byvirtue of Section 21 of the Hindu Marriage Act Section 20 of theCode of Civil Procedure stands incorporated in the said Act, andsecondly, the petition under Section 9 of the Act was a compositepetition or suit and could be treated cither as a petition under theHindu Marriage Act simplicitor or a suit under Section 9 of the Codeof Civil Procedure.","['19','20','21','9']"
